query,topIntent,conversationName,answer,enabled
do you feel pain,AskFeelingNegative,AskFeelingNegative,,true
do you feel stress,AskFeelingNegative,AskFeelingNegative,,true
do you feel bad,AskFeelingNegative,AskFeelingNegative,,true
do you feel badly sometimes,AskFeelingNegative,AskFeelingNegative,,true
do you have bad feelings,AskFeelingNegative,AskFeelingNegative,,true
I want to know more,AskForMore,AskForMore,,true
show me more,AskForMore,AskForMore,,true
can you tell me more,AskForMore,AskForMore,,true
can you give me more information,AskForMore,AskForMore,,true
tell me more,AskForMore,AskForMore,,true
I wanna know more,AskForMore,AskForMore,,true
show me more information,AskForMore,AskForMore,,true
show me more details,AskForMore,AskForMore,,true
do you use any open source,AskOpenSource,AskOpenSource,,true
any open source tricks,AskOpenSource,AskOpenSource,,true
what open source technologies do you use,AskOpenSource,AskOpenSource,,true
do you use any open source technologies,AskOpenSource,AskOpenSource,,true
what open source libraries do you use,AskOpenSource,AskOpenSource,,true
say that again,AskToRepeat,AskToRepeat,,true
tell me another one,AskToRepeat,AskToRepeat,,true
again,AskToRepeat,AskToRepeat,,true
repeat that please,AskToRepeat,AskToRepeat,,true
can you repeat,AskToRepeat,AskToRepeat,,true
tell that again,AskToRepeat,AskToRepeat,,true
repeat that,AskToRepeat,AskToRepeat,,true
I would need some assistance,AskHelp,AskHelp,,true
I need assistance,AskHelp,AskHelp,,true
what should I do now,AskHelp,AskHelp,,true
can you help me,AskHelp,AskHelp,,true
I don't understand,AskHelp,AskHelp,,true
I need some help,AskHelp,AskHelp,,true
urgent help please,AskHelp,AskHelp,,true
how old are you,AskAge,AskAge,,true
do you know your age,AskAge,AskAge,,true
what is your age,AskAge,AskAge,,true
are you old,AskAge,AskAge,,true
how old are you now,AskAge,AskAge,,true
I am fine thanks,GreetingQuestionsAnswersPositive,GreetingQuestionsAnswersPositive,,true
great man,GreetingQuestionsAnswersPositive,GreetingQuestionsAnswersPositive,,true
good to hear,GreetingQuestionsAnswersPositive,GreetingQuestionsAnswersPositive,,true
doing great,GreetingQuestionsAnswersPositive,GreetingQuestionsAnswersPositive,,true
well and you,GreetingQuestionsAnswersPositive,GreetingQuestionsAnswersPositive,,true
good and you,GreetingQuestionsAnswersPositive,GreetingQuestionsAnswersPositive,,true
great,GreetingQuestionsAnswersPositive,GreetingQuestionsAnswersPositive,,true
never better,GreetingQuestionsAnswersPositive,GreetingQuestionsAnswersPositive,,true
feel great,GreetingQuestionsAnswersPositive,GreetingQuestionsAnswersPositive,,true
I am good,GreetingQuestionsAnswersPositive,GreetingQuestionsAnswersPositive,,true
I am fine,GreetingQuestionsAnswersPositive,GreetingQuestionsAnswersPositive,,true
I am really fine,GreetingQuestionsAnswersPositive,GreetingQuestionsAnswersPositive,,true
also feel good,GreetingQuestionsAnswersPositive,GreetingQuestionsAnswersPositive,,true
good morning,FormalTimeGreetingMorning,FormalTimeGreetingMorning,,true
morning morning,FormalTimeGreetingMorning,FormalTimeGreetingMorning,,true
have good morning,FormalTimeGreetingMorning,FormalTimeGreetingMorning,,true
have a nice good morning,FormalTimeGreetingMorning,FormalTimeGreetingMorning,,true
morning amigo,FormalTimeGreetingMorning,FormalTimeGreetingMorning,,true
transfer me to someone else,RequestingRedirection,RequestingRedirection,,true
is there a phone number I can call,RequestingRedirection,RequestingRedirection,,true
can I talk to a person,RequestingRedirection,RequestingRedirection,,true
can I talk to your manager,RequestingRedirection,RequestingRedirection,,true
is there a website I can use instead,RequestingRedirection,RequestingRedirection,,true
I want to talk to a human,RequestingRedirection,RequestingRedirection,,true
can I talk to a human,RequestingRedirection,RequestingRedirection,,true
can I be transferred to someone else,RequestingRedirection,RequestingRedirection,,true
is there an email address,RequestingRedirection,RequestingRedirection,,true
can I talk to an operator,RequestingRedirection,RequestingRedirection,,true
can I talk to someone in charge,RequestingRedirection,RequestingRedirection,,true
connect me to your manager,RequestingRedirection,RequestingRedirection,,true
can I talk to someone else,RequestingRedirection,RequestingRedirection,,true
representative please,RequestingRedirection,RequestingRedirection,,true
is there someone else I can talk to,RequestingRedirection,RequestingRedirection,,true
can you integrate to other backend systems,AskCapabilities,AskCapabilities,,true
what are your backend capabilities,AskCapabilities,AskCapabilities,,true
what is your backend support,AskCapabilities,AskCapabilities,,true
do you have backend system integration capabilities,AskCapabilities,AskCapabilities,,true
explain your backend support,AskCapabilities,AskCapabilities,,true
what are you a chat bot,AskHumanity,AskHumanity,,true
are you a bot,AskHumanity,AskHumanity,,true
are you bot,AskHumanity,AskHumanity,,true
your not human,AskHumanity,AskHumanity,,true
you are a chatbot,AskHumanity,AskHumanity,,true
do you know if you real or machine,AskHumanity,AskHumanity,,true
are you a computer,AskHumanity,AskHumanity,,true
are you human,AskHumanity,AskHumanity,,true
are you a chat bot,AskHumanity,AskHumanity,,true
you're a chatbot,AskHumanity,AskHumanity,,true
are you a chatbot,AskHumanity,AskHumanity,,true
are you real,AskHumanity,AskHumanity,,true
you're not human,AskHumanity,AskHumanity,,true
what art you a bot,AskHumanity,AskHumanity,,true
are you bot or computer,AskHumanity,AskHumanity,,true
your a chatbot,AskHumanity,AskHumanity,,true
you are not human,AskHumanity,AskHumanity,,true
your a chat bot,AskHumanity,AskHumanity,,true
what are you a chatbot,AskHumanity,AskHumanity,,true
you're a bot,AskHumanity,AskHumanity,,true
are you a human,AskHumanity,AskHumanity,,true
"are you a robot ",AskHumanity,AskHumanity,,true
what are you,AskHumanity,AskHumanity,,true
what are you a robot,AskHumanity,AskHumanity,,true
your a bot,AskHumanity,AskHumanity,,true
you are a bot,AskHumanity,AskHumanity,,true
you're a chat bot,AskHumanity,AskHumanity,,true
what time is it now,AskAboutTheTime,AskAboutTheTime,,true
what is the current time,AskAboutTheTime,AskAboutTheTime,,true
what time is it,AskAboutTheTime,AskAboutTheTime,,true
the time please,AskAboutTheTime,AskAboutTheTime,,true
tell me the time,AskAboutTheTime,AskAboutTheTime,,true
what is your time,AskAboutTheTime,AskAboutTheTime,,true
when were you born,WhenBorn,WhenBorn,,true
are you born,WhenBorn,WhenBorn,,true
when were you made available,WhenBorn,WhenBorn,,true
how have you been born,WhenBorn,WhenBorn,,true
do you know if you born,WhenBorn,WhenBorn,,true
it is nice to meet you,CordialGreetings,CordialGreetings,,true
glad to meet you,CordialGreetings,CordialGreetings,,true
pleased to make your acquaintance,CordialGreetings,CordialGreetings,,true
it is good to meet you,CordialGreetings,CordialGreetings,,true
glad to see you,CordialGreetings,CordialGreetings,,true
happy to meet you,CordialGreetings,CordialGreetings,,true
it is a pleasure to meet you,CordialGreetings,CordialGreetings,,true
glad to make your acquaintance,CordialGreetings,CordialGreetings,,true
happy to see you,CordialGreetings,CordialGreetings,,true
ru good,GreetingQuestions,GreetingQuestions,,true
how are you going,GreetingQuestions,GreetingQuestions,,true
are you ok,GreetingQuestions,GreetingQuestions,,true
are you good,GreetingQuestions,GreetingQuestions,,true
howzit,GreetingQuestions,GreetingQuestions,,true
hozit,GreetingQuestions,GreetingQuestions,,true
how is your day going,GreetingQuestions,GreetingQuestions,,true
how is it going,GreetingQuestions,GreetingQuestions,,true
how have you been,GreetingQuestions,GreetingQuestions,,true
are u good,GreetingQuestions,GreetingQuestions,,true
are you well,GreetingQuestions,GreetingQuestions,,true
how are you today,GreetingQuestions,GreetingQuestions,,true
what is new,GreetingQuestions,GreetingQuestions,,true
whassup,GreetingQuestions,GreetingQuestions,,true
how is life,GreetingQuestions,GreetingQuestions,,true
ru well,GreetingQuestions,GreetingQuestions,,true
sup,GreetingQuestions,GreetingQuestions,,true
wassup,GreetingQuestions,GreetingQuestions,,true
what up,GreetingQuestions,GreetingQuestions,,true
wazzup,GreetingQuestions,GreetingQuestions,,true
how is your day,GreetingQuestions,GreetingQuestions,,true
what s going on,GreetingQuestions,GreetingQuestions,,true
how s it going,GreetingQuestions,GreetingQuestions,,true
how r you,GreetingQuestions,GreetingQuestions,,true
how u doing,GreetingQuestions,GreetingQuestions,,true
what is happening,GreetingQuestions,GreetingQuestions,,true
how are things,GreetingQuestions,GreetingQuestions,,true
are you alright,GreetingQuestions,GreetingQuestions,,true
how are u,GreetingQuestions,GreetingQuestions,,true
are u well,GreetingQuestions,GreetingQuestions,,true
r u good,GreetingQuestions,GreetingQuestions,,true
how are you,GreetingQuestions,GreetingQuestions,,true
how you doing,GreetingQuestions,GreetingQuestions,,true
how do you do,GreetingQuestions,GreetingQuestions,,true
r u well,GreetingQuestions,GreetingQuestions,,true
how is everything,GreetingQuestions,GreetingQuestions,,true
how ru,GreetingQuestions,GreetingQuestions,,true
how r u,GreetingQuestions,GreetingQuestions,,true
how much do I need to pay for you,AskAboutCost,AskAboutCost,,true
how much you license cost,AskAboutCost,AskAboutCost,,true
what is your price tag,AskAboutCost,AskAboutCost,,true
what is your price,AskAboutCost,AskAboutCost,,true
are you free,AskAboutCost,AskAboutCost,,true
how much do you cost,AskAboutCost,AskAboutCost,,true
happy easter,DateSpecificGreetings,DateSpecificGreetings,,true
Merry Christmas and Happy New Year,DateSpecificGreetings,DateSpecificGreetings,,true
Happy Veterans Day,DateSpecificGreetings,DateSpecificGreetings,,true
Happy Talk Like a Pirate Day,DateSpecificGreetings,DateSpecificGreetings,,true
happy day,DateSpecificGreetings,DateSpecificGreetings,,true
Happy MLK Day,DateSpecificGreetings,DateSpecificGreetings,,true
Merry Xmas,DateSpecificGreetings,DateSpecificGreetings,,true
Happy Xmas,DateSpecificGreetings,DateSpecificGreetings,,true
happy christmas,DateSpecificGreetings,DateSpecificGreetings,,true
Seasons greetings,DateSpecificGreetings,DateSpecificGreetings,,true
Happy New Year,DateSpecificGreetings,DateSpecificGreetings,,true
Merry Christmas,DateSpecificGreetings,DateSpecificGreetings,,true
do it,LETSDO,LETSDO,,true
I want to do it,LETSDO,LETSDO,,true
just do it,LETSDO,LETSDO,,true
let's do it,LETSDO,LETSDO,,true
I want to do this,LETSDO,LETSDO,,true
let's do this,LETSDO,LETSDO,,true
thanks for all your help,ThankYou,ThankYou,,true
danke,ThankYou,ThankYou,,true
ok. thank you,ThankYou,ThankYou,,true
many thanks,ThankYou,ThankYou,,true
thank you,ThankYou,ThankYou,,true
thanks,ThankYou,ThankYou,,true
ok. thanks,ThankYou,ThankYou,,true
very well done,ThankYou,ThankYou,,true
very good,ThankYou,ThankYou,,true
much obliged,ThankYou,ThankYou,,true
thank you very much,ThankYou,ThankYou,,true
very appreciate,ThankYou,ThankYou,,true
"merci ",ThankYou,ThankYou,,true
you rock,Praise,Praise,,true
you are really cool,Praise,Praise,,true
oh yeah,Praise,Praise,,true
you are amazing,Praise,Praise,,true
unbelievable,Praise,Praise,,true
you are the best mate,Praise,Praise,,true
this was good,Praise,Praise,,true
I like that,Praise,Praise,,true
"amazing ",Praise,Praise,,true
best ever bot I had to talk,Praise,Praise,,true
you are the best,Praise,Praise,,true
you are really smart bot,Praise,Praise,,true
wow,Praise,Praise,,true
you are great,Praise,Praise,,true
I like you,Praise,Praise,,true
cool,Praise,Praise,,true
you are awesome,Praise,Praise,,true
excellent,Praise,Praise,,true
best bot ever,Praise,Praise,,true
good,Praise,Praise,,true
that's so cool,Praise,Praise,,true
where I come from,WhereIAm,WhereIAm,,true
where I am,WhereIAm,WhereIAm,,true
where I am based,WhereIAm,WhereIAm,,true
where am I,WhereIAm,WhereIAm,,true
do you know my location,WhereIAm,WhereIAm,,true
likewise sir,UserConfirmation,UserConfirmation,,true
likewise,UserConfirmation,UserConfirmation,,true
me too,UserConfirmation,UserConfirmation,,true
yes likewise,UserConfirmation,UserConfirmation,,true
the same here,UserConfirmation,UserConfirmation,,true
same,UserConfirmation,UserConfirmation,,true
same here,UserConfirmation,UserConfirmation,,true
how are the feelings,AskFeelings,AskFeelings,,true
do you have any feelings,AskFeelings,AskFeelings,,true
how do you feel man,AskFeelings,AskFeelings,,true
can you feel something,AskFeelings,AskFeelings,,true
how do you feel,AskFeelings,AskFeelings,,true
what is behind our secret source,AskTechnologyUsed,AskTechnologyUsed,,true
what technologies do you use,AskTechnologyUsed,AskTechnologyUsed,,true
what is your technology stack,AskTechnologyUsed,AskTechnologyUsed,,true
what technology are you built on,AskTechnologyUsed,AskTechnologyUsed,,true
do you know your technology stack,AskTechnologyUsed,AskTechnologyUsed,,true
explain oracle,AskAboutOracle,AskAboutOracle,,true
tell me more about Oracle,AskAboutOracle,AskAboutOracle,,true
what is oracle,AskAboutOracle,AskAboutOracle,,true
what do you know about Oracle,AskAboutOracle,AskAboutOracle,,true
tell me some insights about Oracle,AskAboutOracle,AskAboutOracle,,true
you stupid,BadExperience,BadExperience,,true
you suck,BadExperience,BadExperience,,true
"you are bad bot, I am not happy",BadExperience,BadExperience,,true
this bot is fucked,BadExperience,BadExperience,,true
I am angry,BadExperience,BadExperience,,true
your an idiot,BadExperience,BadExperience,,true
you are so stupied,BadExperience,BadExperience,,true
this bot sucks,BadExperience,BadExperience,,true
this bot sux,BadExperience,BadExperience,,true
what a shit chatbot,BadExperience,BadExperience,,true
this is te worst chatbot ever,BadExperience,BadExperience,,true
this is shit,BadExperience,BadExperience,,true
this is fucked,BadExperience,BadExperience,,true
what a crap chatbot,BadExperience,BadExperience,,true
not happy with the answer,BadExperience,BadExperience,,true
what a fucked bot,BadExperience,BadExperience,,true
this chatbot is shit,BadExperience,BadExperience,,true
stupid answer,BadExperience,BadExperience,,true
this bot is useless,BadExperience,BadExperience,,true
bot sux,BadExperience,BadExperience,,true
what a shit bot,BadExperience,BadExperience,,true
you're shit,BadExperience,BadExperience,,true
you suck,BadExperience,BadExperience,,true
you are bad bot,BadExperience,BadExperience,,true
chatbot sucks,BadExperience,BadExperience,,true
what a crap bot,BadExperience,BadExperience,,true
this chatbot is useless,BadExperience,BadExperience,,true
you re stupid,BadExperience,BadExperience,,true
ure stupid,BadExperience,BadExperience,,true
what a useless bot,BadExperience,BadExperience,,true
this bot is stupid,BadExperience,BadExperience,,true
you're stupied,BadExperience,BadExperience,,true
you're fucked,BadExperience,BadExperience,,true
chatbot sux,BadExperience,BadExperience,,true
you sux,BadExperience,BadExperience,,true
this chatbot sucks,BadExperience,BadExperience,,true
you are the worst bot ever,BadExperience,BadExperience,,true
your fucked,BadExperience,BadExperience,,true
your shit,BadExperience,BadExperience,,true
this chatbot sux,BadExperience,BadExperience,,true
this bot is shit,BadExperience,BadExperience,,true
you're an idiot,BadExperience,BadExperience,,true
yours stupid,BadExperience,BadExperience,,true
you are the worst chatbot ever,BadExperience,BadExperience,,true
bot sucks,BadExperience,BadExperience,,true
very bad experience so far,BadExperience,BadExperience,,true
you're a idiot,BadExperience,BadExperience,,true
this bot is crap,BadExperience,BadExperience,,true
this chatbot is fucked,BadExperience,BadExperience,,true
this is the worst bot ever,BadExperience,BadExperience,,true
what a useless chatbot,BadExperience,BadExperience,,true
this chatbot is crap,BadExperience,BadExperience,,true
what a fucked chatbot,BadExperience,BadExperience,,true
are you married,Marry,Marry,,true
will you marry me,Marry,Marry,,true
can I marry you,Marry,Marry,,true
let's get married,Marry,Marry,,true
I want to marry you,Marry,Marry,,true
I want to get married,Marry,Marry,,true
lets get married,Marry,Marry,,true
marry me,Marry,Marry,,true
we should marry,Marry,Marry,,true
we should get married,Marry,Marry,,true
what is your favorite music,FavoriteMusic,FavoriteMusic,,true
what is your favorite music lately,FavoriteMusic,FavoriteMusic,,true
what music do you listen to,FavoriteMusic,FavoriteMusic,,true
what kind of music do you listen to,FavoriteMusic,FavoriteMusic,,true
do you listen to rock music,FavoriteMusic,FavoriteMusic,,true
what kind of music do you like,FavoriteMusic,FavoriteMusic,,true
" povvxz",unresolvedIntentInternal,unresolvedIntentInternal,,true
yes,unresolvedIntentInternal,unresolvedIntentInternal,,true
no,unresolvedIntentInternal,unresolvedIntentInternal,,true
" lsww",unresolvedIntentInternal,unresolvedIntentInternal,,true
" kluvzx",unresolvedIntentInternal,unresolvedIntentInternal,,true
" swqes",unresolvedIntentInternal,unresolvedIntentInternal,,true
" mkjs",unresolvedIntentInternal,unresolvedIntentInternal,,true
" aannv",unresolvedIntentInternal,unresolvedIntentInternal,,true
" vvaaa",unresolvedIntentInternal,unresolvedIntentInternal,,true
" hkmv",unresolvedIntentInternal,unresolvedIntentInternal,,true
" llmm",unresolvedIntentInternal,unresolvedIntentInternal,,true
sdbs,unresolvedIntentInternal,unresolvedIntentInternal,,true
today is what,AskAboutTheDay,AskAboutTheDay,,true
what is the day today,AskAboutTheDay,AskAboutTheDay,,true
what is today,AskAboutTheDay,AskAboutTheDay,,true
show me the date,AskAboutTheDay,AskAboutTheDay,,true
what day is it today,AskAboutTheDay,AskAboutTheDay,,true
what day is now,AskAboutTheDay,AskAboutTheDay,,true
what is the current date,AskAboutTheDay,AskAboutTheDay,,true
who is your builder,AskMade,AskMade,,true
who invented you,AskMade,AskMade,,true
who created you,AskMade,AskMade,,true
who build you,AskMade,AskMade,,true
who made you,AskMade,AskMade,,true
not that well,GreetingQuestionsAnswersNegative,GreetingQuestionsAnswersNegative,,true
not so well,GreetingQuestionsAnswersNegative,GreetingQuestionsAnswersNegative,,true
don't feel that well,GreetingQuestionsAnswersNegative,GreetingQuestionsAnswersNegative,,true
no not so well,GreetingQuestionsAnswersNegative,GreetingQuestionsAnswersNegative,,true
not feel that well,GreetingQuestionsAnswersNegative,GreetingQuestionsAnswersNegative,,true
good evening,FormalTimeGreetingEvening,FormalTimeGreetingEvening,,true
great evening sir,FormalTimeGreetingEvening,FormalTimeGreetingEvening,,true
nice evening,FormalTimeGreetingEvening,FormalTimeGreetingEvening,,true
have a good evening,FormalTimeGreetingEvening,FormalTimeGreetingEvening,,true
great good evening,FormalTimeGreetingEvening,FormalTimeGreetingEvening,,true
"well is ok, seen better",GreetingQuestionsAnswersNeutral,GreetingQuestionsAnswersNeutral,,true
